"vina_results","Model","Path","ligand","receptor"
-8.378,"Model_5","output/Docking_Vina/results_Vina_X131900_7KVN.pdb_ligand_vina_out_score.csv","X131900","7KVN"
-8.363,"Model_6","output/Docking_Vina/results_Vina_X131900_7KVN.pdb_ligand_vina_out_score.csv","X131900","7KVN"
-8.175,"Model_7","output/Docking_Vina/results_Vina_X131900_7KVN.pdb_ligand_vina_out_score.csv","X131900","7KVN"
-8.105,"Model_8","output/Docking_Vina/results_Vina_X131900_7KVN.pdb_ligand_vina_out_score.csv","X131900","7KVN"
-8.027,"Model_9","output/Docking_Vina/results_Vina_X131900_7KVN.pdb_ligand_vina_out_score.csv","X131900","7KVN"
-8.978,"Model_1","output/Docking_Vina/results_Vina_X131900_7KVO.pdb_ligand_vina_out_score.csv","X131900","7KVO"
-8.829,"Model_2","output/Docking_Vina/results_Vina_X131900_7KVO.pdb_ligand_vina_out_score.csv","X131900","7KVO"
-8.633,"Model_3","output/Docking_Vina/results_Vina_X131900_7KVO.pdb_ligand_vina_out_score.csv","X131900","7KVO"
-8.623,"Model_4","output/Docking_Vina/results_Vina_X131900_7KVO.pdb_ligand_vina_out_score.csv","X131900","7KVO"
-8.554,"Model_5","output/Docking_Vina/results_Vina_X131900_7KVO.pdb_ligand_vina_out_score.csv","X131900","7KVO"
-8.387,"Model_6","output/Docking_Vina/results_Vina_X131900_7KVO.pdb_ligand_vina_out_score.csv","X131900","7KVO"
-8.359,"Model_7","output/Docking_Vina/results_Vina_X131900_7KVO.pdb_ligand_vina_out_score.csv","X131900","7KVO"
-8.357,"Model_8","output/Docking_Vina/results_Vina_X131900_7KVO.pdb_ligand_vina_out_score.csv","X131900","7KVO"
-8.354,"Model_9","output/Docking_Vina/results_Vina_X131900_7KVO.pdb_ligand_vina_out_score.csv","X131900","7KVO"
-1.955,"Model_1","output/Docking_Vina/results_Vina_X131900_7KVP.pdb_ligand_vina_out_score.csv","X131900","7KVP"
-0.94,"Model_2","output/Docking_Vina/results_Vina_X131900_7KVP.pdb_ligand_vina_out_score.csv","X131900","7KVP"
1.954,"Model_1","output/Docking_Vina/results_Vina_X131900_7LXL.pdb_ligand_vina_out_score.csv","X131900","7LXL"
3.143,"Model_2","output/Docking_Vina/results_Vina_X131900_7LXL.pdb_ligand_vina_out_score.csv","X131900","7LXL"
-7.833,"Model_1","output/Docking_Vina/results_Vina_X131900_7UF9.pdb_ligand_vina_out_score.csv","X131900","7UF9"
-6.166,"Model_2","output/Docking_Vina/results_Vina_X131900_7UF9.pdb_ligand_vina_out_score.csv","X131900","7UF9"
-5.636,"Model_3","output/Docking_Vina/results_Vina_X131900_7UF9.pdb_ligand_vina_out_score.csv","X131900","7UF9"
-5.542,"Model_4","output/Docking_Vina/results_Vina_X131900_7UF9.pdb_ligand_vina_out_score.csv","X131900","7UF9"
-4.999,"Model_5","output/Docking_Vina/results_Vina_X131900_7UF9.pdb_ligand_vina_out_score.csv","X131900","7UF9"
-4.978,"Model_6","output/Docking_Vina/results_Vina_X131900_7UF9.pdb_ligand_vina_out_score.csv","X131900","7UF9"
33.824,"Model_1","output/Docking_Vina/results_Vina_X131900_7UFA.pdb_ligand_vina_out_score.csv","X131900","7UFA"
35.007,"Model_2","output/Docking_Vina/results_Vina_X131900_7UFA.pdb_ligand_vina_out_score.csv","X131900","7UFA"
35.033,"Model_3","output/Docking_Vina/results_Vina_X131900_7UFA.pdb_ligand_vina_out_score.csv","X131900","7UFA"
60.129,"Model_1","output/Docking_Vina/results_Vina_X131900_7UFB.pdb_ligand_vina_out_score.csv","X131900","7UFB"
60.361,"Model_2","output/Docking_Vina/results_Vina_X131900_7UFB.pdb_ligand_vina_out_score.csv","X131900","7UFB"
61.746,"Model_3","output/Docking_Vina/results_Vina_X131900_7UFB.pdb_ligand_vina_out_score.csv","X131900","7UFB"
59.755,"Model_1","output/Docking_Vina/results_Vina_X131900_7UFC.pdb_ligand_vina_out_score.csv","X131900","7UFC"
61.267,"Model_2","output/Docking_Vina/results_Vina_X131900_7UFC.pdb_ligand_vina_out_score.csv","X131900","7UFC"
62.535,"Model_3","output/Docking_Vina/results_Vina_X131900_7UFC.pdb_ligand_vina_out_score.csv","X131900","7UFC"
30.907,"Model_1","output/Docking_Vina/results_Vina_X131900_7UFD.pdb_ligand_vina_out_score.csv","X131900","7UFD"
-8.671,"Model_1","output/Docking_Vina/results_Vina_X131900_7UFF.pdb_ligand_vina_out_score.csv","X131900","7UFF"
-8.5,"Model_2","output/Docking_Vina/results_Vina_X131900_7UFF.pdb_ligand_vina_out_score.csv","X131900","7UFF"
-8.485,"Model_3","output/Docking_Vina/results_Vina_X131900_7UFF.pdb_ligand_vina_out_score.csv","X131900","7UFF"
-8.277,"Model_4","output/Docking_Vina/results_Vina_X131900_7UFF.pdb_ligand_vina_out_score.csv","X131900","7UFF"
-8.213,"Model_5","output/Docking_Vina/results_Vina_X131900_7UFF.pdb_ligand_vina_out_score.csv","X131900","7UFF"
-8.19,"Model_6","output/Docking_Vina/results_Vina_X131900_7UFF.pdb_ligand_vina_out_score.csv","X131900","7UFF"
-8.188,"Model_7","output/Docking_Vina/results_Vina_X131900_7UFF.pdb_ligand_vina_out_score.csv","X131900","7UFF"
-8.178,"Model_8","output/Docking_Vina/results_Vina_X131900_7UFF.pdb_ligand_vina_out_score.csv","X131900","7UFF"
-8.125,"Model_9","output/Docking_Vina/results_Vina_X131900_7UFF.pdb_ligand_vina_out_score.csv","X131900","7UFF"
-1.783,"Model_1","output/Docking_Vina/results_Vina_X167691_2F8U.pdb_ligand_vina_out_score.csv","X167691","2F8U"
-0.521,"Model_2","output/Docking_Vina/results_Vina_X167691_2F8U.pdb_ligand_vina_out_score.csv","X167691","2F8U"
1.199,"Model_3","output/Docking_Vina/results_Vina_X167691_2F8U.pdb_ligand_vina_out_score.csv","X167691","2F8U"
-7.96,"Model_1","output/results_Vina_X167691_2GBH.pdb_ligand_vina_out_score.csv","output/results","2GBH"
