"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0034504","protein localization to nucleus","47/835","311/18888",0.15112540192926,3.41851088819146,9.24890860128582,1.35829959097963e-13,1.86040888152865e-12,7.29123004764487e-13,"7157/207/999/7015/4193/3458/1026/6774/7040/2475/6714/5295/5743/3630/1387/3717/4792/10155/2932/3320/1432/142/1277/4088/5580/1906/5347/6850/7037/948/983/2147/8841/3728/1994/6789/7295/11315/5663/51548/1386/10628/7534/4321/7704/1812/785",47
"BP","GO:0009267","cellular response to starvation","34/835","172/18888",0.197674418604651,4.47146636958641,9.83604946984265,1.42980980701752e-13,1.95361180169488e-12,7.65650670203597e-13,"7157/355/1026/596/2475/5594/3480/213/4780/5595/6513/5599/2353/23411/3309/6667/1312/5465/7494/6720/7351/4217/5562/1386/659/468/1965/5563/3178/8644/7534/6715/5166/3992",34
"BP","GO:0001935","endothelial cell proliferation","37/835","202/18888",0.183168316831683,4.14333313570878,9.6595736914952,1.44207490744313e-13,1.965610797754e-12,7.70353262277655e-13,"7124/207/406991/6774/2260/5468/3091/3586/7422/6772/3791/1950/2247/6347/857/348/5293/5578/7057/23411/5291/6667/2152/3146/406921/3162/6776/335/3690/7498/240/51548/4017/659/185/10016/8854",37
"BP","GO:0043534","blood vessel endothelial cell migration","35/835","183/18888",0.191256830601093,4.32629822322568,9.7242901622743,1.74960470530158e-13,2.37904080771489e-12,9.32382875291976e-13,"7124/207/2260/7040/5468/3091/7422/3791/5743/2247/4780/348/5578/7057/9734/23411/6667/3146/406921/4627/3315/4846/1545/3162/3728/6776/335/2185/5340/4204/9353/10014/51564/186/5025",35
"BP","GO:0034765","regulation of monoatomic ion transmembrane transport","50/835","349/18888",0.143266475644699,3.24073915206836,9.08679856265862,1.84520909477873e-13,2.5030083946722e-12,9.80967689304178e-13,"3458/406991/596/4318/581/5294/6347/857/3627/5243/1906/4067/1080/2539/2147/3690/2185/6622/1909/2852/5777/5581/2149/2903/2859/2904/1815/2902/776/775/801/3783/6331/487/7402/1812/2906/2946/6330/5319/783/623/785/23171/6324/4986/6546/5025/784/782",50
"BP","GO:0008631","intrinsic apoptotic signaling pathway in response to oxidative stress","21/835","64/18888",0.328125,7.42230538922156,11.0681495794263,1.90326067533547e-13,2.57556354698275e-12,1.00940317528205e-12,"207/1499/596/3091/3586/4313/3630/3717/4780/142/5580/4170/23411/6647/6416/3315/1545/5034/11315/4217/468",21
"BP","GO:0070665","positive regulation of leukocyte proliferation","33/835","164/18888",0.201219512195122,4.55165766028918,9.82434811139845,1.92943033531843e-13,2.60473095267988e-12,1.0208343325369e-12,"3569/1026/406991/596/29126/3553/5594/3558/3565/50943/3552/3717/598/959/5747/5595/7099/5788/1437/695/7412/4067/3146/6850/7037/6777/3567/100/942/4282/952/4828/6541",33
"BP","GO:0070374","positive regulation of ERK1 and ERK2 cascade","38/835","215/18888",0.176744186046512,3.99801698927726,9.50815620152189,2.17744212719448e-13,2.93253124672039e-12,1.14930433594664e-12,"7124/1956/406991/7040/6714/5604/5781/3791/3383/3552/2247/6347/5595/7099/5788/348/5578/3146/948/351/650/3690/2185/4282/50507/2641/5320/2852/59/5590/2149/4988/151306/6278/246/2243/1139/4504",38
"BP","GO:0019369","arachidonic acid metabolic process","20/835","58/18888",0.344827586206897,7.80012389015073,11.1546435981344,2.44746595244115e-13,3.28263753884832e-12,1.28651640488361e-12,"5743/1545/1565/1543/5742/240/1548/1544/239/1571/8644/247/1559/1557/246/1555/1558/2166/873/29785",20
"BP","GO:0006694","steroid biosynthetic process","35/835","185/18888",0.189189189189189,4.27952743162324,9.64032181866536,2.44903491734032e-13,3.28263753884832e-12,1.28651640488361e-12,"7124/3458/4790/3480/3552/1385/348/23411/1080/1588/6647/1392/1958/2539/650/1576/335/1543/9971/3156/6720/1594/6716/5562/231/476/5563/8647/47/8644/8912/3292/6715/1066/6718",35
"BP","GO:0042326","negative regulation of phosphorylation","47/835","316/18888",0.14873417721519,3.36442052603653,9.11567769915449,2.47519799768029e-13,3.30984414713505e-12,1.29717909531711e-12,"5728/207/1029/5925/3458/1026/7040/5468/3553/3558/581/3082/5788/857/348/9370/3486/5580/4067/23411/2950/5347/406921/3315/650/6622/11315/7498/5663/51085/5777/100506658/5590/183/5771/5770/5577/9353/5585/22933/9052/624/801/1845/623/23171/6546",47
"BP","GO:0042698","ovulation cycle","22/835","72/18888",0.305555555555556,6.91177644710579,10.8086296364828,2.66106275702399e-13,3.54997095458307e-12,1.39128850379679e-12,"1956/2099/6714/3480/4313/836/558/5111/23411/6777/1958/4846/1545/5764/5806/771/5021/9353/2/4986/4987/2560",22
"BP","GO:0015844","monoamine transport","24/835","87/18888",0.275862068965517,6.24009911212059,10.5355858371991,2.72248759495987e-13,3.62334846659399e-12,1.42004628525588e-12,"6850/1312/1392/3690/6622/4129/11315/6530/5579/6532/6531/4204/135/5021/3350/1815/140/1812/6582/3737/152/4986/18/151",24
"BP","GO:0033555","multicellular organismal response to stress","25/835","95/18888",0.263157894736842,5.95272612669398,10.4077798160439,2.82359599791647e-13,3.74118320567612e-12,1.46622754136481e-12,"5728/5979/207/596/2475/348/7057/6198/1803/1312/1392/1977/6530/4929/4204/7442/3350/1815/6335/1812/2898/56923/2558/5025/6328",25
"BP","GO:0032409","regulation of transporter activity","42/835","260/18888",0.161538461538462,3.65405803777061,9.26753023922504,2.8242850356513e-13,3.74118320567612e-12,1.46622754136481e-12,"3458/596/5468/4318/3630/6347/857/5243/9370/5580/1906/6256/1080/1612/351/1392/2185/6622/1909/5444/5292/59272/5581/2859/4988/10062/1815/1742/776/336/801/1131/487/7402/2946/6330/783/785/23171/6324/784/782",42
"BP","GO:0055088","lipid homeostasis","34/835","176/18888",0.193181818181818,4.36984213391399,9.65952614707263,2.87382962016507e-13,3.79789708351089e-12,1.48845458695102e-12,"5468/3630/857/348/7376/9734/23411/406921/3172/3949/7494/335/19/9971/51085/5562/1071/6095/5563/8647/2167/339221/10062/345/2170/336/1066/2053/134/6646/337/55937/64241/64240",34
"BP","GO:0010332","response to gamma radiation","19/835","52/18888",0.365384615384615,8.26513127590972,11.2823828791254,2.89122295892262e-13,3.81195587785054e-12,1.49396444581811e-12,"7157/11200/4193/4609/1026/406991/596/581/3552/598/5788/142/3627/1958/23028/5562/2002/5423/3297",19
"BP","GO:0045637","regulation of myeloid cell differentiation","38/835","218/18888",0.174311926605505,3.94299840685601,9.39931385863493,3.41816104362923e-13,4.49619644969691e-12,1.76212890508281e-12,"7124/1499/5925/4609/3458/6774/7040/2475/3091/6772/841/3565/5295/4792/3605/5914/1021/7099/1432/1385/1440/9370/5578/4067/2353/6777/3567/51176/2185/3375/1051/4057/5771/5916/7704/3297/714/10193",38
"BP","GO:0019218","regulation of steroid metabolic process","26/835","104/18888",0.25,5.65508982035928,10.2376606981109,3.5058495221444e-13,4.60081601243275e-12,1.80313092925958e-12,"7124/3458/4790/3480/3552/1385/348/23411/6777/6647/1958/3949/650/335/9971/6720/1594/5562/476/54658/6095/8647/8644/6097/1066/2053",26
"BP","GO:0050820","positive regulation of coagulation","15/835","30/18888",0.5,11.3101796407186,12.1542756281004,3.54796417969327e-13,4.63631234451493e-12,1.81704249061732e-12,"4780/5054/7057/5328/5327/2152/7056/948/2147/7448/5340/5663/2149/2161/79001",15
"BP","GO:0051960","regulation of nervous system development","59/835","468/18888",0.126068376068376,2.851711960694,8.72371727601162,3.54933002450903e-13,4.63631234451493e-12,1.81704249061732e-12,"7157/5728/7124/207/999/1499/1956/5925/3569/3458/7040/2475/3091/7422/3553/5604/7852/7161/5970/2247/627/5914/2335/4915/6696/2670/5915/7097/3065/4067/1636/4803/2147/3949/51176/650/3066/23028/10013/5764/2852/5663/659/4204/5021/443/5916/9353/4133/22933/4988/1075/4747/2047/7804/5802/4504/7224/816",59
"BP","GO:0010745","negative regulation of macrophage derived foam cell differentiation","11/835","14/18888",0.785714285714286,17.7731394354149,13.5019481722376,3.81025083865499e-13,4.96564560797462e-12,1.94611328844394e-12,"5468/1401/4792/7376/9370/5465/3685/3690/19/1071/10062",11
"BP","GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production","27/835","113/18888",0.238938053097345,5.40486460706905,10.1002436323145,4.0203567345876e-13,5.2273901044419e-12,2.04869500348498e-12,"3569/3458/6774/7040/5781/5295/3552/3717/3605/7099/5788/695/7097/7057/7291/3146/6850/948/351/942/1191/3315/3066/4282/5663/5004/23643",27
