"variable","relative_importance","scaled_importance","percentage","model","Importance"
"OTU1455_g__Barnesiella",0,0,0,"DRF",0
"OTU1177_g__Providencia",0,0,0,"DRF",0
"OTU1463_g__Sodaliphilus",0,0,0,"DRF",0
"OTU2561_g__Anaerotignum",0,0,0,"DRF",0
"OTU1257_g__Klebsiella",0,0,0,"DRF",0
"OTU739_g__Ralstonia",0,0,0,"DRF",0
"OTU2330_g__Selenomonas",0,0,0,"DRF",0
"OTU227_g__Akkermansia",0,0,0,"DRF",0
"OTU2547_g__Sellimonas",0,0,0,"DRF",0
"OTU2516_g__Oscillibacter",0,0,0,"DRF",0
"OTU2505_g__Monoglobus",0,0,0,"DRF",0
"OTU918_g__Succinivibrio",0,0,0,"DRF",0
"OTU2265_g__Enterococcus",0,0,0,"DRF",0
"OTU2348_g__Veillonella",0,0,0,"DRF",0
"OTU2396_g__Petrocella",0,0,0,"DRF",0
"OTU2509_g__Caproicibacterium",0,0,0,"DRF",0
"OTU1458_g__Butyricimonas",0,0,0,"DRF",0
"OTU92_g__Fusobacterium",0,0,0,"DRF",0
"OTU2554_g__Enterocloster",0,0,0,"DRF",0
"OTU929_g__Aeromonas",0,0,0,"DRF",0
"OTU1583_g__Rubrobacter",0,0,0,"DRF",0
"OTU1438_g__Spirosoma",0,0,0,"DRF",0
"OTU1293_g__Enterobacter",0,0,0,"DRF",0
"OTU2507_g__Pseudoclostridium",0,0,0,"DRF",0
"OTU2549_g__Anaerocolumna",0,0,0,"DRF",0
"OTU2193_g__Fructilactobacillus",0,0,0,"DRF",0
"OTU2157_g__Staphylococcus",0,0,0,"DRF",0
"OTU1960_g__Amedibacterium",0,0,0,"DRF",0
"OTU1679_g__Cutibacterium",0,0,0,"DRF",0
"OTU207_g__Candidatus_Nanosynbacter",0,0,0,"DRF",0
"OTU205_g__Candidatus_Saccharimonas",0,0,0,"DRF",0
"OTU179_g__Anaeromyxobacter",0,0,0,"DRF",0
"OTU121_g__Leptolyngbya",0,0,0,"DRF",0
"OTU2432_g__Filifactor",0,0,0,"DRF",0
"OTU2272_g__Granulicatella",0,0,0,"DRF",0
"OTU1605_g__Slackia",0,0,0,"DRF",0
"OTU2444_g__Paraclostridium",0,0,0,"DRF",0
"OTU2502_g__Ruminiclostridium",0,0,0,"DRF",0
"OTU1604_g__Xiamenia",0,0,0,"DRF",0
"OTU116_g__Limnospira",0,0,0,"DRF",0
"OTU960_g__Vibrio",0,0,0,"DRF",0
"OTU1951_g__Tannockella",0,0,0,"DRF",0
"OTU66_g__Gemmatirosa",0,0,0,"DRF",0
"OTU2199_g__Lactiplantibacillus",0,0,0,"DRF",0
"OTU2545_g__Anaeropeptidivorans",0,0,0,"DRF",0
"OTU2450_g__Serpentinicella",0,0,0,"DRF",0
"OTU1623_g__Olsenella",0,0,0,"DRF",0
"OTU1721_g__Rhodococcus",0,0,0,"DRF",0
"OTU2542_g__Wansuia",0,0,0,"DRF",0
"OTU1592_g__Thermoleophilum",0,0,0,"DRF",0
"OTU1876_g__Schaalia",0,0,0,"DRF",0
"OTU2386_g__Heliorestis",0,0,0,"DRF",0
"OTU2504_g__Ethanoligenens",0,0,0,"DRF",0
"OTU65_g__Candidatus_Koribacter",0,0,0,"DRF",0
"OTU168_g__Cloacibacillus",0,0,0,"DRF",0
"OTU631_g__Sphaerotilus",0,0,0,"DRF",0
"OTU2371_g__Ammonifex",0,0,0,"DRF",0
"OTU2573_g__Lacrimispora",0,0,0,"DRF",0
"OTU58_g__Paludibaculum",0,0,0,"DRF",0
"OTU1304_g__Frederiksenia",0,0,0,"DRF",0
"OTU845_g__Stenotrophomonas",0,0,0,"DRF",0
"OTU2429_g__Peptacetobacter",0,0,0,"DRF",0
"OTU1228_g__Shigella",0,0,0,"DRF",0
"OTU2101_g__Lysinibacillus",0,0,0,"DRF",0
"OTU2674_g__Gemella",0,0,0,"DRF",0
"OTU32_g__Dissulfurispira",0,0,0,"DRF",0
"OTU1619_g__Atopobium",0,0,0,"DRF",0
"OTU1163_g__Yersinia",0,0,0,"DRF",0
"OTU1569_g__Mesomycoplasma",0,0,0,"DRF",0
