"variable","relative_importance","scaled_importance","percentage","model","Importance"
"OTU2678_s__Massilistercora_timonensis",0.75,0.0414209810010576,0.00246457892829503,"DRF",0.0414209810010576
"OTU2557_s__Lachnoclostridium_phocaeense",0.75,0.0414209810010576,0.00246457892829503,"DRF",0.0414209810010576
"OTU2238_s__Lactobacillus_delbrueckii",0.680555582046509,0.0375857064454829,0.00223637726272718,"DRF",0.0375857064454829
"OTU1473_s__Alistipes_senegalensis",0.666666686534882,0.0368186508759991,0.00219073689044018,"DRF",0.0368186508759991
"OTU1952_s__Faecalitalea_cylindroides",0.666666686534882,0.0368186508759991,0.00219073689044018,"DRF",0.0368186508759991
"OTU2438_s__Terrisporobacter_hibernicus",0.5,0.0276139873340384,0.00164305261886335,"DRF",0.0276139873340384
"OTU1525_s__Bacteroides_nordii",0.5,0.0276139873340384,0.00164305261886335,"DRF",0.0276139873340384
"OTU1449_s__Porphyromonas_gingivalis",0.5,0.0276139873340384,0.00164305261886335,"DRF",0.0276139873340384
"OTU1484_s__Paraprevotella_xylaniphila",0.449999988079071,0.0248525879422658,0.00147874731780359,"DRF",0.0248525879422658
"OTU1456_s__Odoribacter_splanchnicus",0.444444447755814,0.0245457667020255,0.00146049122764893,"DRF",0.0245457667020255
"OTU2481_s__Clostridium_bornimense",0.444444447755814,0.0245457667020255,0.00146049122764893,"DRF",0.0245457667020255
"OTU2341_s__Megasphaera_elsdenii",0.280701756477356,0.0155025894960161,0.000922415512199325,"DRF",0.0155025894960161
"OTU1534_s__Phocaeicola_coprophilus",0.20833332836628,0.011505827781529,0.000684605241537468,"DRF",0.011505827781529
"OTU1507_s__Prevotella_copri",0,0,0,"DRF",0
"OTU2597_s__Blautia_wexlerae",0,0,0,"DRF",0
"OTU2587_s__Anaerostipes_hadrus",0,0,0,"DRF",0
"OTU2600_s__Roseburia_hominis",0,0,0,"DRF",0
"OTU2588_s__Lachnospira_eligens",0,0,0,"DRF",0
